duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
237338,False,{'spotify': 'https://open.spotify.com/track/1n2wszmJyVkw6FHqyLnQsY'},Come In With The Rain (Taylor’s Version),17,spotify:track:1n2wszmJyVkw6FHqyLnQsY,Fearless (Taylor's Version),0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929,https://api.spotify.com/v1/audio-analysis/1n2wszmJyVkw6FHqyLnQsY
263865,False,{'spotify': 'https://open.spotify.com/track/51A8eKvvZz9uydvIZ7xRSV'},Superstar (Taylor’s Version),18,spotify:track:51A8eKvvZz9uydvIZ7xRSV,Fearless (Taylor's Version),0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862,https://api.spotify.com/v1/audio-analysis/51A8eKvvZz9uydvIZ7xRSV
238443,False,{'spotify': 'https://open.spotify.com/track/1cSFlSBdpT4F5vb1frQ231'},The Other Side Of The Door (Taylor’s Version),19,spotify:track:1cSFlSBdpT4F5vb1frQ231,Fearless (Taylor's Version),0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936,https://api.spotify.com/v1/audio-analysis/1cSFlSBdpT4F5vb1frQ231
241822,False,{'spotify': 'https://open.spotify.com/track/2JoJrsEV15OzbijS47lids'},Today Was A Fairytale (Taylor’s Version),20,spotify:track:2JoJrsEV15OzbijS47lids,Fearless (Taylor's Version),0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162,https://api.spotify.com/v1/audio-analysis/2JoJrsEV15OzbijS47lids
220839,False,{'spotify': 'https://open.spotify.com/track/4CHpVfAhuxNJ3ibExe6kxO'},You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),21,spotify:track:4CHpVfAhuxNJ3ibExe6kxO,Fearless (Taylor's Version),0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893,https://api.spotify.com/v1/audio-analysis/4CHpVfAhuxNJ3ibExe6kxO
277591,False,{'spotify': 'https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK'},Mr. Perfectly Fine (Taylor’s Version) (From The Vault),22,spotify:track:2CYVETnhM9aytqrazYYwrK,Fearless (Taylor's Version),0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942,https://api.spotify.com/v1/audio-analysis/2CYVETnhM9aytqrazYYwrK
244236,False,{'spotify': 'https://open.spotify.com/track/34V9RiEPe8MNdU32qJsJa1'},We Were Happy (Taylor’s Version) (From The Vault),23,spotify:track:34V9RiEPe8MNdU32qJsJa1,Fearless (Taylor's Version),0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007,https://api.spotify.com/v1/audio-analysis/34V9RiEPe8MNdU32qJsJa1
189495,False,{'spotify': 'https://open.spotify.com/track/7eResoqEJJAVTkQYSqvO3P'},That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),24,spotify:track:7eResoqEJJAVTkQYSqvO3P,Fearless (Taylor's Version),0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201,https://api.spotify.com/v1/audio-analysis/7eResoqEJJAVTkQYSqvO3P
208608,False,{'spotify': 'https://open.spotify.com/track/4uuEGH5SVuzkkSFjo2DEiY'},Don’t You (Taylor’s Version) (From The Vault),25,spotify:track:4uuEGH5SVuzkkSFjo2DEiY,Fearless (Taylor's Version),0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,https://api.spotify.com/v1/audio-analysis/4uuEGH5SVuzkkSFjo2DEiY
242157,False,{'spotify': 'https://open.spotify.com/track/4qUijfYU8EoIWiY6oSyrgT'},Bye Bye Baby (Taylor’s Version) (From The Vault),26,spotify:track:4qUijfYU8EoIWiY6oSyrgT,Fearless (Taylor's Version),0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132,https://api.spotify.com/v1/audio-analysis/4qUijfYU8EoIWiY6oSyrgT
