song,closest_song,distance
"epiphany, New Year’s Day, All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), betty, The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Death By A Thousand Cuts","Stay Stay Stay (Taylor's Version), I Think He Knows, Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault), Cornelia Street, Don’t You (Taylor’s Version) (From The Vault), Clean, 22 (Taylor's Version), Paper Rings, We Were Happy (Taylor’s Version) (From The Vault), mirrorball, King Of My Heart, Treacherous (Taylor's Version), The Man",7.343631001568417
False God,I Know Places - Voice Memo,7.462716865968384
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault), Breathe (feat. Colbie Caillat) (Taylor’s Version), Tied Together with a Smile, If This Was A Movie, I Almost Do (Taylor's Version), ‘tis the damn season","mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December, the 1, The Story Of Us, Wildest Dreams, right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me, this is me trying",7.537695830749232
"champagne problems, You Are In Love, Superstar (Taylor’s Version), Getaway Car, Babe (Taylor's Version) (From The Vault), Should've Said No","Cold As You, We Are Never Ever Getting Back Together (Taylor's Version), Bad Blood, Cruel Summer",7.718232463505542
Picture To Burn,"Teardrops On My Guitar - Radio Single Remix, Fearless (Taylor’s Version), Tell Me Why (Taylor’s Version), Change (Taylor’s Version), Blank Space, All You Had To Do Was Stay, Fifteen (Taylor’s Version), Style, Invisible",8.043330185936666
"peace, it’s time to go - bonus track, Daylight","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault), Breathe (feat. Colbie Caillat) (Taylor’s Version), Tied Together with a Smile, If This Was A Movie, I Almost Do (Taylor's Version), ‘tis the damn season, mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December, the 1, The Story Of Us, Wildest Dreams, right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me, this is me trying",8.265117989794584
"Last Kiss, Gorgeous, Out Of The Woods, That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault), august, Delicate, marjorie, seven, I Forgot That You Existed","Our Song, You Need To Calm Down, I Did Something Bad",8.416145250901018
"A Place in this World, Sparks Fly, The Outside, Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York, Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault), Forever & Always (Piano Version) (Taylor’s Version), illicit affairs, happiness, hoax","gold rush, Afterglow, coney island (feat. The National)",8.45662986504671
"Tim McGraw, So It Goes..., Mary's Song (Oh My My My), Better Man (Taylor's Version) (From The Vault), exile (feat. Bon Iver), Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Haunted - Acoustic Version, Come Back...Be Here (Taylor's Version), Bye Bye Baby (Taylor’s Version) (From The Vault), Begin Again (Taylor's Version), no body, no crime (feat. HAIM), willow, invisible string, ivy, the lakes - bonus track","False God, I Know Places - Voice Memo",8.609104027930005
Innocent,"Red (Taylor's Version), Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Starlight (Taylor's Version), Girl At Home (Taylor's Version), New Romantics, How You Get The Girl, Dear John, The Lucky One (Taylor's Version), dorothea, Love Story (Taylor’s Version), I Wish You Would",9.017935194732932
"Call It What You Want, Enchanted, This Is Why We Can't Have Nice Things, The Other Side Of The Door (Taylor’s Version), Mean, The Way I Loved You (Taylor’s Version), Haunted","I Know Places, Dancing With Our Hands Tied, Ours, Jump Then Fall (Taylor’s Version), ...Ready For It?, End Game, long story short, London Boy",9.200003017966226
"Sad Beautiful Tragic (Taylor's Version), Blank Space - Voice Memo, The Moment I Knew (Taylor's Version), Look What You Made Me Do, State Of Grace (Taylor's Version), Forever & Always (Taylor’s Version), You Belong With Me (Taylor’s Version), Superman, Stay Beautiful, You’re Not Sorry (Taylor’s Version)","Innocent, Red (Taylor's Version), Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Starlight (Taylor's Version), Girl At Home (Taylor's Version), New Romantics, How You Get The Girl, Dear John, The Lucky One (Taylor's Version), dorothea, Love Story (Taylor’s Version), I Wish You Would",9.645199564184148
"champagne problems, You Are In Love, Superstar (Taylor’s Version), Getaway Car, Babe (Taylor's Version) (From The Vault), Should've Said No, Cold As You, We Are Never Ever Getting Back Together (Taylor's Version), Bad Blood, Cruel Summer","Call It What You Want, Enchanted, This Is Why We Can't Have Nice Things, The Other Side Of The Door (Taylor’s Version), Mean, The Way I Loved You (Taylor’s Version), Haunted, I Know Places, Dancing With Our Hands Tied, Ours, Jump Then Fall (Taylor’s Version), ...Ready For It?, End Game, long story short, London Boy",9.948292771423564
"Last Kiss, Gorgeous, Out Of The Woods, That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault), august, Delicate, marjorie, seven, I Forgot That You Existed, Our Song, You Need To Calm Down, I Did Something Bad","epiphany, New Year’s Day, All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), betty, The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Death By A Thousand Cuts, Stay Stay Stay (Taylor's Version), I Think He Knows, Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault), Cornelia Street, Don’t You (Taylor’s Version) (From The Vault), Clean, 22 (Taylor's Version), Paper Rings, We Were Happy (Taylor’s Version) (From The Vault), mirrorball, King Of My Heart, Treacherous (Taylor's Version), The Man",10.045545140916397
"Better Than Revenge, I'm Only Me When I'm With You, Miss Americana & The Heartbreak Prince, closure, tolerate it, the last great american dynasty, I Knew You Were Trouble (Taylor's Version), A Perfectly Good Heart, Holy Ground (Taylor's Version), Today Was A Fairytale (Taylor’s Version), Shake It Off","peace, it’s time to go - bonus track, Daylight, I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault), Breathe (feat. Colbie Caillat) (Taylor’s Version), Tied Together with a Smile, If This Was A Movie, I Almost Do (Taylor's Version), ‘tis the damn season, mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December, the 1, The Story Of Us, Wildest Dreams, right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me, this is me trying",10.192570652981958
"Lover, It’s Nice To Have A Friend","Tim McGraw, So It Goes..., Mary's Song (Oh My My My), Better Man (Taylor's Version) (From The Vault), exile (feat. Bon Iver), Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Haunted - Acoustic Version, Come Back...Be Here (Taylor's Version), Bye Bye Baby (Taylor’s Version) (From The Vault), Begin Again (Taylor's Version), no body, no crime (feat. HAIM), willow, invisible string, ivy, the lakes - bonus track, False God, I Know Places - Voice Memo",11.239653714550244
"State Of Grace (Acoustic Version) (Taylor's Version), Soon You’ll Get Better (feat. The Chicks)","Untouchable (Taylor’s Version), Long Live, Teardrops on My Guitar - Pop Version",11.259507300975038
"A Place in this World, Sparks Fly, The Outside, Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York, Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault), Forever & Always (Piano Version) (Taylor’s Version), illicit affairs, happiness, hoax, gold rush, Afterglow, coney island (feat. The National)","Picture To Burn, Teardrops On My Guitar - Radio Single Remix, Fearless (Taylor’s Version), Tell Me Why (Taylor’s Version), Change (Taylor’s Version), Blank Space, All You Had To Do Was Stay, Fifteen (Taylor’s Version), Style, Invisible",11.915496226554072
